21/01/2022;1.250.2;1.257.9;;;125020;125792;;1.2502;1.25792
20/01/2022;1.251.3;1.250.2;;;125130;125019;;1.2513;1.25019
19/01/2022;1.251.0;1.251.3;;;125102;125130;;1.25102;1.2513
18/01/2022;1.251.9;1.251.2;;;125190;125120;;1.2519;1.2512
17/01/2022;1.253.3;1.251.2;;;125333;125120;;1.25333;1.2512
14/01/2022;1.251.8;1.255.5;;;125184;125552;;1.25184;1.25552
13/01/2022;1.250.5;1.252.0;;;125052;125197;;1.25052;1.25197
12/01/2022;1.257.2;1.250.7;;;125718;125070;;1.25718;1.2507
11/01/2022;1.267.6;1.257.2;;;126760;125717;;1.2676;1.25717
10/01/2022;1.265.0;1.267.9;;;126500;126790;;1.265;1.2679
07/01/2022;1.272.5;1.264.1;;;127247;126409;;1.27247;1.26409
06/01/2022;1.275.4;1.272.6;;;127540;127255;;1.2754;1.27255
05/01/2022;1.270.7;1.275.5;;;127073;127553;;1.27073;1.27553
04/01/2022;1.274.1;1.270.7;;;127412;127070;;1.27412;1.2707
03/01/2022;1.263.8;1.274.2;;;126377;127420;;1.26377;1.2742
31/12/2021;1.273.7;1.263.8;;;127372;126377;;1.27372;1.26377
30/12/2021;1.278.6;1.273.7;;;127862;127370;;1.27862;1.2737
29/12/2021;1.281.5;1.278.9;;;128150;127890;;1.2815;1.2789
28/12/2021;1.278.8;1.281.5;;;127880;128153;;1.2788;1.28153
27/12/2021;1.280.8;1.278.5;;;128076;127852;;1.28076;1.27852
24/12/2021;1.280.9;1.280.1;;;128087;128011;;1.28087;1.28011
23/12/2021;1.283.5;1.280.9;;;128346;128090;;1.28346;1.2809
22/12/2021;1.291.2;1.283.4;;;129117;128340;;1.29117;1.2834
21/12/2021;1.293.7;1.291.2;;;129372;129123;;1.29372;1.29123
20/12/2021;1.289.1;1.293.7;;;128906;129373;;1.28906;1.29373
17/12/2021;1.277.2;1.288.6;;;127723;128860;;1.27723;1.2886
16/12/2021;1.283.1;1.277.3;;;128312;127730;;1.28312;1.2773
15/12/2021;1.285.9;1.283.1;;;128594;128310;;1.28594;1.2831
14/12/2021;1.280.5;1.286.0;;;128050;128595;;1.2805;1.28595
13/12/2021;1.272.6;1.280.5;;;127260;128049;;1.2726;1.28049
10/12/2021;1.271.3;1.271.9;;;127126;127194;;1.27126;1.27194
09/12/2021;1.265.0;1.271.2;;;126498;127120;;1.26498;1.2712
08/12/2021;1.263.6;1.265.3;;;126364;126530;;1.26364;1.2653
07/12/2021;1.275.3;1.263.8;;;127532;126379;;1.27532;1.26379
06/12/2021;1.282.8;1.275.4;;;128277;127536;;1.28277;1.27536
03/12/2021;1.280.8;1.284.3;;;128079;128429;;1.28079;1.28429
02/12/2021;1.281.8;1.280.8;;;128176;128081;;1.28176;1.28081
01/12/2021;1.277.6;1.281.8;;;127762;128178;;1.27762;1.28178
30/11/2021;1.273.7;1.277.8;;;127373;127780;;1.27373;1.2778
29/11/2021;1.274.6;1.273.8;;;127455;127380;;1.27455;1.2738
26/11/2021;1.264.5;1.279.3;;;126452;127930;;1.26452;1.2793
25/11/2021;1.266.1;1.264.5;;;126613;126447;;1.26613;1.26447
24/11/2021;1.266.9;1.266.7;;;126685;126670;;1.26685;1.2667
23/11/2021;1.269.9;1.266.9;;;126985;126693;;1.26985;1.26693
22/11/2021;1.264.1;1.269.8;;;126410;126980;;1.2641;1.2698
19/11/2021;1.260.0;1.263.9;;;126000;126390;;1.26;1.2639
18/11/2021;1.261.0;1.259.6;;;126099;125964;;1.26099;1.25964
17/11/2021;1.255.9;1.261.0;;;125590;126100;;1.2559;1.261
16/11/2021;1.251.1;1.255.9;;;125110;125590;;1.2511;1.2559
15/11/2021;1.254.7;1.251.4;;;125470;125140;;1.2547;1.2514
12/11/2021;1.257.6;1.254.9;;;125758;125490;;1.25758;1.2549
11/11/2021;1.248.8;1.257.5;;;124882;125754;;1.24882;1.25754
10/11/2021;1.243.3;1.248.7;;;124333;124870;;1.24333;1.2487
09/11/2021;1.244.1;1.243.5;;;124411;124354;;1.24411;1.24354
08/11/2021;1.244.8;1.244.1;;;124476;124405;;1.24476;1.24405
05/11/2021;1.245.5;1.246.0;;;124547;124600;;1.24547;1.246
04/11/2021;1.238.6;1.245.4;;;123864;124538;;1.23864;1.24538
03/11/2021;1.240.3;1.238.7;;;124033;123865;;1.24033;1.23865
02/11/2021;1.236.9;1.240.6;;;123694;124063;;1.23694;1.24063
01/11/2021;1.237.7;1.237.2;;;123773;123720;;1.23773;1.2372
29/10/2021;1.234.3;1.238.9;;;123433;123890;;1.23433;1.2389
28/10/2021;1.236.2;1.234.1;;;123615;123410;;1.23615;1.2341
27/10/2021;1.239.1;1.235.9;;;123907;123590;;1.23907;1.2359
26/10/2021;1.238.0;1.239.0;;;123800;123896;;1.238;1.23896
25/10/2021;1.236.4;1.238.0;;;123640;123800;;1.2364;1.238
22/10/2021;1.236.8;1.235.9;;;123683;123590;;1.23683;1.2359
21/10/2021;1.231.7;1.237.0;;;123171;123700;;1.23171;1.237
20/10/2021;1.236.0;1.231.7;;;123602;123170;;1.23602;1.2317
19/10/2021;1.237.3;1.235.7;;;123733;123571;;1.23733;1.23571
18/10/2021;1.236.3;1.237.3;;;123634;123727;;1.23634;1.23727
15/10/2021;1.236.8;1.236.6;;;123678;123660;;1.23678;1.2366
14/10/2021;1.243.9;1.237.0;;;124386;123700;;1.24386;1.237
13/10/2021;1.245.8;1.243.9;;;124580;124392;;1.2458;1.24392
12/10/2021;1.247.8;1.246.1;;;124780;124610;;1.2478;1.2461
11/10/2021;1.247.2;1.247.8;;;124722;124783;;1.24722;1.24783
08/10/2021;1.255.1;1.246.6;;;125507;124660;;1.25507;1.2466
07/10/2021;1.259.1;1.255.1;;;125912;125510;;1.25912;1.2551
06/10/2021;1.258.1;1.259.2;;;125807;125920;;1.25807;1.2592
05/10/2021;1.258.4;1.258.2;;;125842;125821;;1.25842;1.25821
04/10/2021;1.264.3;1.258.2;;;126430;125820;;1.2643;1.2582
01/10/2021;1.267.8;1.264.9;;;126776;126490;;1.26776;1.2649
30/09/2021;1.275.4;1.267.8;;;127537;126776;;1.27537;1.26776
29/09/2021;1.268.3;1.275.3;;;126833;127530;;1.26833;1.2753
28/09/2021;1.262.4;1.268.4;;;126240;126844;;1.2624;1.26844
27/09/2021;1.265.4;1.262.6;;;126543;126260;;1.26543;1.2626
24/09/2021;1.265.2;1.265.2;;;126520;126520;;1.2652;1.2652
23/09/2021;1.277.0;1.265.1;;;127700;126510;;1.277;1.2651
22/09/2021;1.281.2;1.277.0;;;128120;127704;;1.2812;1.27704
21/09/2021;1.281.9;1.280.9;;;128185;128090;;1.28185;1.2809
20/09/2021;1.276.0;1.281.9;;;127599;128190;;1.27599;1.2819
17/09/2021;1.268.1;1.276.6;;;126810;127660;;1.2681;1.2766
16/09/2021;1.262.5;1.268.1;;;126246;126810;;1.26246;1.2681
15/09/2021;1.268.9;1.262.3;;;126893;126233;;1.26893;1.26233
14/09/2021;1.264.5;1.268.7;;;126454;126870;;1.26454;1.2687
13/09/2021;1.268.1;1.264.5;;;126805;126450;;1.26805;1.2645
10/09/2021;1.266.4;1.269.1;;;126641;126910;;1.26641;1.2691
09/09/2021;1.268.8;1.266.3;;;126875;126627;;1.26875;1.26627
08/09/2021;1.264.5;1.268.7;;;126452;126870;;1.26452;1.2687
07/09/2021;1.253.4;1.264.6;;;125341;126460;;1.25341;1.2646
06/09/2021;1.252.7;1.253.7;;;125268;125370;;1.25268;1.2537
03/09/2021;1.255.2;1.251.8;;;125522;125180;;1.25522;1.2518
02/09/2021;1.261.9;1.255.0;;;126192;125502;;1.26192;1.25502
01/09/2021;1.261.1;1.261.7;;;126109;126167;;1.26109;1.26167
